"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","630","💙 Sort by price low to high and validate results are sorted","Chromium","Sat Aug 16 17:13:07 IDT 2025","passed","Sat Aug 16 17:13:08 IDT 2025","","HomePage.test.ts","",""
"","5461","Orders history shows empty state when no orders exist","Chromium","Sat Aug 16 17:08:09 IDT 2025","failed","Sat Aug 16 17:08:15 IDT 2025","","OrdersHistory.test.ts","",""
"","1575","should show alert on failed update","Chromium","Sat Aug 16 17:04:53 IDT 2025","passed","Sat Aug 16 17:04:54 IDT 2025","Admin Item Edit Page","AdminEditItemPage.test.ts","",""
"","1390","should navigate to orders list","Chromium","Sat Aug 16 17:05:29 IDT 2025","passed","Sat Aug 16 17:05:30 IDT 2025","Admin Items Dashboard","AdminDashboardPage.test.ts","",""
"","757","🚫 Login fails with incorrect password for valid email","Chromium","Sat Aug 16 17:07:58 IDT 2025","passed","Sat Aug 16 17:07:59 IDT 2025","","LoginPage.test.ts","",""
"","5876","🛒 Cart loads from backend after login","Chromium","Sat Aug 16 17:12:45 IDT 2025","failed","Sat Aug 16 17:12:51 IDT 2025","","HomePage.test.ts","",""
"","612","validate Cart updated","Chromium","Sat Aug 16 17:07:22 IDT 2025","passed","Sat Aug 16 17:07:23 IDT 2025","","Item.test.ts","",""
"","952","should navigate to checkout and display form fields","Chromium","Sat Aug 16 17:06:02 IDT 2025","passed","Sat Aug 16 17:06:03 IDT 2025","","CheckoutPage.test.ts","",""
"","676","🛍️ Home page displays items after login","Chromium","Sat Aug 16 17:12:44 IDT 2025","passed","Sat Aug 16 17:12:44 IDT 2025","","HomePage.test.ts","",""
"","30033","should create item successfully and redirect","Chromium","Sat Aug 16 17:03:48 IDT 2025","broken","Sat Aug 16 17:04:18 IDT 2025","AddItemPage","AdminAddItemPage.test.ts","",""
"","30032","🔙 Back button on Reigster page redirects to landing","Chromium","Sat Aug 16 17:08:18 IDT 2025","broken","Sat Aug 16 17:08:48 IDT 2025","","RegisterPage.test.ts","",""
"","30044","Select item and proceed to checkout","Chromium","Sat Aug 16 17:07:01 IDT 2025","broken","Sat Aug 16 17:07:31 IDT 2025","","CartPage.test.ts","",""
"","5523","Orders history initial test","Chromium","Sat Aug 16 17:08:03 IDT 2025","failed","Sat Aug 16 17:08:09 IDT 2025","","OrdersHistory.test.ts","",""
"","685","should navigate to pie chart page","Chromium","Sat Aug 16 17:05:31 IDT 2025","passed","Sat Aug 16 17:05:31 IDT 2025","Admin Items Dashboard","AdminDashboardPage.test.ts","",""
"","30065","🔙 Back button on Login page redirects to landing","Chromium","Sun Aug 10 11:28:47 IDT 2025","broken","Sun Aug 10 11:29:17 IDT 2025","","CartPage.test.ts","",""
"","30041","Empty Cart validation","Chromium","Sat Aug 16 17:05:29 IDT 2025","broken","Sat Aug 16 17:05:59 IDT 2025","","CartPage.test.ts","",""
"","1111","should cancel and go back","Chromium","Sat Aug 16 17:04:54 IDT 2025","passed","Sat Aug 16 17:04:55 IDT 2025","Admin Item Edit Page","AdminEditItemPage.test.ts","",""
"","5627","should update chart when date is changed","Chromium","Sat Aug 16 17:05:02 IDT 2025","failed","Sat Aug 16 17:05:08 IDT 2025","Admin Pie Chart Page","AdminPieChartPage.test.ts","",""
"","5929","💙 Clicking WishList navigates and renders","Chromium","Sat Aug 16 17:12:52 IDT 2025","failed","Sat Aug 16 17:12:58 IDT 2025","","HomePage.test.ts","",""
"","697","should navigate to new item page","Chromium","Sat Aug 16 17:04:26 IDT 2025","passed","Sat Aug 16 17:04:27 IDT 2025","Admin Items Dashboard","AdminDashboardPage.test.ts","",""
"","30031","should view details of nth item","Chromium","Sat Aug 16 17:04:27 IDT 2025","broken","Sat Aug 16 17:04:57 IDT 2025","Admin Items Dashboard","AdminDashboardPage.test.ts","",""
"","5599","should show tooltip when slice is clicked","Chromium","Sat Aug 16 17:05:09 IDT 2025","failed","Sat Aug 16 17:05:15 IDT 2025","Admin Pie Chart Page","AdminPieChartPage.test.ts","",""
"","1091","💙 Clicking register should redirect to /register page","Chromium","Sat Aug 16 17:07:55 IDT 2025","passed","Sat Aug 16 17:07:56 IDT 2025","","LandingPage.test.ts","",""
"","3505","should display correct number of wishlist items","Chromium","Sat Aug 16 17:09:00 IDT 2025","failed","Sat Aug 16 17:09:04 IDT 2025","","WishlistPage.test.ts","",""
"","30033","🔙 Back button on Login page redirects to landing","Chromium","Sat Aug 16 17:07:59 IDT 2025","broken","Sat Aug 16 17:08:29 IDT 2025","","LoginPage.test.ts","",""
"","1919","should add a new item","Chromium","Tue Aug 12 14:49:07 IDT 2025","passed","Tue Aug 12 14:49:09 IDT 2025","Admin Items Dashboard","AdminDashboardPage.test.ts","",""
"","30036","should logout and redirect to landing page","Chromium","Sat Aug 16 17:05:31 IDT 2025","broken","Sat Aug 16 17:06:01 IDT 2025","Admin Items Dashboard","AdminDashboardPage.test.ts","",""
"","788","📦 Authenticated user can view item details","Chromium","Sat Aug 16 17:07:21 IDT 2025","passed","Sat Aug 16 17:07:22 IDT 2025","","Item.test.ts","",""
"","5083","Bar chart loads and displays correctly","Chromium","Sat Aug 16 17:03:48 IDT 2025","passed","Sat Aug 16 17:03:53 IDT 2025","","AdminBarChartPage.test.ts","",""
"","603","should fill payment and address details","Chromium","Sat Aug 16 17:06:03 IDT 2025","passed","Sat Aug 16 17:06:04 IDT 2025","","CheckoutPage.test.ts","",""
"","1280","should load item details correctly","Chromium","Sat Aug 16 17:04:50 IDT 2025","passed","Sat Aug 16 17:04:52 IDT 2025","Admin Item Edit Page","AdminEditItemPage.test.ts","",""
"","966","🔐 User can Register with valid credentials","Chromium","Sat Aug 16 17:08:16 IDT 2025","passed","Sat Aug 16 17:08:17 IDT 2025","","RegisterPage.test.ts","",""
"","30036","should show alert on failed item creation","Chromium","Sat Aug 16 17:04:19 IDT 2025","broken","Sat Aug 16 17:04:49 IDT 2025","AddItemPage","AdminAddItemPage.test.ts","",""
"","755","Chart is responsive to viewport changes","Chromium","Sat Aug 16 17:03:54 IDT 2025","passed","Sat Aug 16 17:03:55 IDT 2025","","AdminBarChartPage.test.ts","",""
"","30043","should delete the first item","Chromium","Sat Aug 16 17:04:58 IDT 2025","broken","Sat Aug 16 17:05:28 IDT 2025","Admin Items Dashboard","AdminDashboardPage.test.ts","",""
"","1148","💙 Clicking on View Item and verifying real data","Chromium","Sat Aug 16 17:13:05 IDT 2025","passed","Sat Aug 16 17:13:07 IDT 2025","","HomePage.test.ts","",""
"","1205","🔐 User can log in with valid credentials","Chromium","Sat Aug 16 17:07:56 IDT 2025","passed","Sat Aug 16 17:07:57 IDT 2025","","LoginPage.test.ts","",""
"","30040","Back button navigates correctly","Chromium","Sat Aug 16 17:03:55 IDT 2025","broken","Sat Aug 16 17:04:25 IDT 2025","","AdminBarChartPage.test.ts","",""
"","30042","Mocking non-empty cart, validate","Chromium","Sat Aug 16 17:05:59 IDT 2025","broken","Sat Aug 16 17:06:29 IDT 2025","","CartPage.test.ts","",""
"","5694","should complete full checkout flow and verify payment success","Chromium","Sat Aug 16 17:06:05 IDT 2025","failed","Sat Aug 16 17:06:11 IDT 2025","","CheckoutPage.test.ts","",""
"","1231","should update item successfully","Chromium","Sat Aug 16 17:04:52 IDT 2025","passed","Sat Aug 16 17:04:53 IDT 2025","Admin Item Edit Page","AdminEditItemPage.test.ts","",""
"","1678","should allow using location and submitting checkout","Chromium","Sat Aug 16 17:06:04 IDT 2025","passed","Sat Aug 16 17:06:05 IDT 2025","","CheckoutPage.test.ts","",""
